project_name	Vul_leb	Syr_ref_WW	Pal_ref	Detainees	benef_nbr_tot	cost	Sector	act_type	act_type_detail	ICRC_AoO	district	town	geo_location	description
EeH Camp Provision of Fire Extinguishers to 20 Sectors	0	0	34775	0	34775		Wathab	Municipal services	Building rehabilitation & construction	South Lebanon	Saida	Ein EL Helwe Antenna camp	"33.5438132,35.3760468,1"	ICRC in coordination with the popular committees and authorities in the camp has undertaken the provision and distribution of ABC rated fire extinguishers
EeH-Taytaba-Clashes repairs	0	0	150	0	150		Wathab	Municipal services	Building rehabilitation & construction	South Lebanon	Saida	Ein El Helwe camp 	"33.5434575,35.3765203,1"	Following the intense clashes between Islamic factions and the Fatah groups several buildings and small shops have been severely affected the ICRC WatHab unit assisted in the rehabilitation of the damaged buildings
Ein el Hilwe Electrical Power Network Rehabilitation	0	0	34775	0	34775		Wathab	Municipal services	Energy supply	South Lebanon			"33.542987, 35.379227,1"	the project seeks an improvement of the electricity network in the camp which will contribute to enhancing the living conditions and safety of the camp’s population
Ghazzeh water supply project 	23400	6600	0	0	30000		Wathab	Municipal services	Safe drinking water supply	Bekaa	West Bekaa	Ghazze Village 	"33.6679302,35.8193382,1"	Installation of a solar pump in the pumping stationto have a continuous pumping time in addition to digging a new well
Khiara Water supply support	1560	440	0	0	2000		Wathab	Municipal services	Safe drinking water supply	Bekaa	West Bekaa	Khiara Municipality 	"33.685335,35.8287025,1"	Improvement of power supply for water infrastructure
Maqne Water supply 	550	0	0	0	550		Wathab	Municipal services	Safe drinking water supply	Bekaa	baalbek	Maqne Village	"34.0788884,36.2059743,1"	Installation of a new pipe line connecting the central manhole directly from the main reservoir
Nahr Al Bared river cleaning	0	0	500	0	500		Wathab	Municipal services	Sanitation & environmental health	North Lebanon	Akkar	Naher el Bared Palestinian Camp	"34.5148874,35.9624523,1"	Project consists of cleaning the river as it floods on the houses due to the rough route of the river
Provision of Fuel for 39 villages in Tyre caza	60447	17051	0	0	77498		Wathab	Municipal services	Energy supply	South Lebanon			"33.274117, 35.192517,1"	the project aim was to provide a cushion to the SLWE to cover for the period of expected repairs by securing fuel for power generation
Qaa Well Rehabilitation	13260	3740	0	0	17000		Wathab	Municipal services	Safe drinking water supply	Bekaa	baalbek	Al Qaa village	"34.3422334,36.4785211,1"	Rehabilitation of the well by installing an electrical stabiliser to maintain a regular voltage
Ras Al Ain pumping station rehabilitation 	14820	4180	0	0	19000		Wathab	Municipal services	Safe drinking water supply	South Lebanon	Sour	Ras al Ain pumping station	"33.2277465,35.2234002,1"	Improvement of power supply for water infrastructure
Support to Kfar Bedda Gathering	0	0	1700	0	1700		Wathab	Municipal services	Energy supply	South Lebanon			"33.361264, 35.265835,1"	The project consisted of replacing the old generator with a new one to power the well inside the village
Toufiqiye water supply	4290	1210	0	0	5500		Wathab	Municipal services	Safe drinking water supply	Bekaa	baalbek	Toufiqiye Village	"34.1754592,36.2471001,1"	The project consists of installing a new water pipe to increase the quantity of water delivered to the village
Wasta Palestinian Gathering-Tyre Area	0	0	1400	0	1400		Wathab	Municipal services	Energy supply	South Lebanon	Saida	Wasta Palestinian gathering	"33.3494059,35.2558673,1"	The project scope was the supply and instalaltion of a backup power generator  in the Wasta and Itanieh
Water Supply Increase in Aarsal	3900	1100	0	0	5000		Wathab	Municipal services	Safe drinking water supply	Bekaa	baalbek	Aarsal Municipality	"34.1796075,36.4201739,1"	The project consisted of a rehabilitation of 2 existing and non functional boreholes in the village
Zaylaa sewage replacement (Jabal Mohsen)	0	200	0	0	200		Wathab	Municipal services	Sanitation & environmental health	North Lebanon			"34.441386, 35.853835,1"	Project consists of rehabilitation of the main sewage pipe and the replacement of the buildings sewage pipes
Zellaya Reservoir execution	3900	1100	0	0	5000		Wathab	Municipal services	Safe drinking water supply	Bekaa	West Bekaa	Zellaya village	"33.4594695,35.6540939,1"	The Project consists of the implemetation of new reservoir located in the village and serving neighboring villages as well
Al Rahma Shebaa PHC	0	4554	0	0	4554		Health	Primary health care		South Lebanon	Hasbaya		"33.349058,35.748689,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff
AMC PHC	0	24290	0	0	24290		Health	Primary health care		Bekaa	Baalbek		"34.1802558,36.4184738,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff.
El Bireh SDC	0	9109	0	0	9109		Health	Primary health care		North Lebanon	Akkar		"34.588484,36.235745,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff
IHS Baalbeck	0	91088	0	0	91088		Health	Primary health care		Bekaa	Baalbek		"34.005186,36.207957,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff
IHS El Khiam	0	21254	0	0	21254		Health	Primary health care		South Lebanon	Marjaayoun		"33.329428,35.613933,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff
IHS Tyr Maashouk	0	15181	0	0	15181		Health	Primary health care		South Lebanon	Sour		"33.268144,35.222594,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff
Miriata SDC	0	9109	0	0	9109		Health	Primary health care		North Lebanon	Zgharta		"34.4188225,35.9312353,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff
New Arsal PHC	0	24290	0	0	24290		Health	Primary health care		Bekaa	Baalbek		"34.1796737,36.4192748,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff
PRCS Nahr El Bared	0	15181	0	0	15181		Health	Primary health care		North Lebanon	Akkar		"34.512066588,35.959905879,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff
SHRO PHC	0	78943	0	0	78943		Health	Primary health care		Bekaa	Zahle		"33.7745472, 35.9023423,1"	The ICRC support to Primary healthcare centre (PHC) included provision of drugs for acute and chronic diseases medical consumables and equipment facilitating training for the staff
Oral Messages	0	0	0	1250	1250		Protection	Restoring Family Links	Oral Messages/Salamat	Lebanon /Country wide			"33.851747, 35.814236,1"	Individuals exchanged news with relatives in Lebanon or abroad through short oral messages or salamats relayed by ICRC delegates. 
Red Cross Messages	0	0	0	590	590		Protection	Restoring Family Links	Red cross messages	Lebanon /Country wide			"33.851747, 35.814236,1"	Individuals exchanged news with relatives in Lebanon or abroad through Red cross messages relayed by ICRC delegates
Repatriation from ILOT	0	0	0	10	10		Protection	Restoring Family Links	Crossing borders with ILOT	South Lebanon		on the border	"33.0944165,35.1025403,1"	Under ICRC auspices a Lebanese family of four persons one Lebanese ex-detainee in Israel and the human remains of five others were repatriated from Israel. 
Emergency rehabilitation Burj Barajneh explosions	415	0	0	0	415		Wathab	Support to Informal Settlements and Hosting Communities	Building rehabilitation & construction	Beirut			"33.8468514,35.4997283,1"	Emergency partial rehabilitation program following bombings in Burj Al Barajneh
Hamshari Gathering Installation of Water System 	0	0	480	0	480		Wathab	Support to Informal Settlements and Hosting Communities	Safe drinking water supply	South Lebanon	Saida	Hamshari Gathering 	"33.5479405,35.3936623,1"	Improvement of power supply for water infrastructure
Lebanese Returnees Assistance	0	500	0	0	500		Wathab	Support to Informal Settlements and Hosting Communities	Safe drinking water supply	Bekaa	baalbek	Ras Baalbeck Town	"34.260828, 36.416762,1"	installation of 1000 L water tanks with its accessories and maintaining a proper house connection 
LRC activities	0	2000	0	0	2000		Wathab	Support to Informal Settlements and Hosting Communities	Safe drinking water supply	North Lebanon			"34.427900, 36.048637,1"	Improvement of power supply for water infrastructure
Marj Al Khokh ITS Support	0	1400	0	0	1400		Wathab	Support to Informal Settlements and Hosting Communities	Safe drinking water supply	South Lebanon			"33.364145, 35.604963,1"	Improvement of power supply for water infrastructure
QRCS support to sewage systems	0	21654	0	0	21654		Wathab	Support to Informal Settlements and Hosting Communities	Sanitation & environmental health	Bekaa	baalbek	Aarsal Municipality	"34.1796075,36.4201739,1"	Rehabilitation of the sewage system in the village with collaboration of the QRCS
Support to FRC	0	3190	0	0	3190		Wathab	Support to Informal Settlements and Hosting Communities	Transitional human settlements	Bekaa			"33.898715, 36.035416,1"	The ICRC is funding the FRC to conduct WASH activities in Informal Settlements in Zahle
Thermal Insulation - QRCS	0	29000	0	0	29000		Wathab	Support to Informal Settlements and Hosting Communities	Transitional human settlements	Bekaa	baalbek	Aarsal Municipality	"34.1796075,36.4201739,1"	"This project improves the living conditions of Syrian refugees in Arsal and other camps in Bekaa, through providing a thermal insulating for each individual tent"
Baalbek District Prison	0	0	0	135	135		Wathab	Wathab in Detention	Building rehabilitation & construction	Bekaa	baalbek	Baalbek District prison	"34.012420, 36.217743,1"	full rehabilitation of the District Prison
General Security Retention Centre	0	0	0	400	400		Wathab	Wathab in Detention	Sanitation & environmental health	Beirut	Beirut	Beirut GenSec Retention Center 	"33.8861797,35.5046127,1"	ICRC presented support in the new retention centre by proposing a suitable solution for the drinking water as well as firefighting system
Halba District Prison	0	0	0	87	87		Wathab	Wathab in Detention	Building rehabilitation & construction	North Lebanon	Akkar	Halba District prison	"34.5424938,36.0778167,1"	full rehabilitation of the District Prison
Roumieh Central Prison	0	0	0	3200	3200		Wathab	Wathab in Detention	Safe drinking water supply	Beirut	El Metn	Roumieh Central Prison	"33.8851877,35.5902673,1"	full rehabilitation of the Central Prison
Tripoli Central Prison Ventilation Improvement Project	0	0	0	975	975		Wathab	Wathab in Detention	Safe drinking water supply	North Lebanon	Tripoli	Tripoli Prison	"34.437361, 35.850097,1"	the project consists of a rehabilitation of the ventilation system in Tripoli prison where temperateures are unbearable for detainees during summer
Zahle Central Prison	0	0	0	651	651		Wathab	Wathab in Detention	Building rehabilitation & construction	Bekaa	Zahle	Zahle Prison	"33.8461037,35.9021283,1"	The project aimed at further expanding the allocated space for medical services and to improve access to health care inside the internal security perimeter of the prison
WTTC	0	1211	0	0	1211		Health	WW treatment		North Lebanon	Tripoli	Tripoli WTTC	"34.4152088,35.8389823,1"	The WTTC has become fully operational since January 2015 and has continued to provide comprehensive quality care to all weapon wounded including fire arms emergencies and wounded in need on re-constructive surgery. In addition to treat traumas beyond weapon wounds for those vulnerable patients without any health coverage. 
